sg_uf,nm_municipio,nr_candidato,qt_votos_nominais,dt_carga
AL,CORURIPE,13,12675,2022-11-25 18:45:37
AL,CORURIPE,22,14497,2022-11-25 18:45:37
AL,CRAÍBAS,13,11494,2022-11-25 18:45:37
AL,CRAÍBAS,22,3062,2022-11-25 18:45:37
AL,DELMIRO GOUVEIA,13,22688,2022-11-25 18:45:37
AL,DELMIRO GOUVEIA,22,5050,2022-11-25 18:45:37
AL,DOIS RIACHOS,13,4705,2022-11-25 18:45:37
AL,DOIS RIACHOS,22,1460,2022-11-25 18:45:37
AL,ESTRELA DE ALAGOAS,13,6374,2022-11-25 18:45:37
AL,ESTRELA DE ALAGOAS,22,1201,2022-11-25 18:45:37
AL,FEIRA GRANDE,13,10346,2022-11-25 18:45:37
AL,FEIRA GRANDE,22,2967,2022-11-25 18:45:37
AL,FELIZ DESERTO,13,1597,2022-11-25 18:45:37
AL,FELIZ DESERTO,22,690,2022-11-25 18:45:37
AL,FLEXEIRAS,13,2795,2022-11-25 18:45:37
AL,FLEXEIRAS,22,2841,2022-11-25 18:45:37
AL,GIRAU DO PONCIANO,13,15744,2022-11-25 18:45:37
AL,GIRAU DO PONCIANO,22,3511,2022-11-25 18:45:37
AL,IBATEGUARA,13,4916,2022-11-25 18:45:37
AL,IBATEGUARA,22,2761,2022-11-25 18:45:37
AL,IGACI,13,10837,2022-11-25 18:45:37
AL,IGACI,22,2627,2022-11-25 18:45:37
AL,IGREJA NOVA,13,9594,2022-11-25 18:45:37
AL,IGREJA NOVA,22,2944,2022-11-25 18:45:37
AL,INHAPI,13,7228,2022-11-25 18:45:37
AL,INHAPI,22,1387,2022-11-25 18:45:37
AL,JACARÉ DOS HOMENS,13,2788,2022-11-25 18:45:37
AL,JACARÉ DOS HOMENS,22,651,2022-11-25 18:45:37
AL,JACUÍPE,13,2722,2022-11-25 18:45:37
AL,JACUÍPE,22,1050,2022-11-25 18:45:37
AL,JAPARATINGA,13,2300,2022-11-25 18:45:37
AL,JAPARATINGA,22,2766,2022-11-25 18:45:37
AL,JARAMATAIA,13,2802,2022-11-25 18:45:37
AL,JARAMATAIA,22,760,2022-11-25 18:45:37
AL,JEQUIÁ DA PRAIA,13,2832,2022-11-25 18:45:37
AL,JEQUIÁ DA PRAIA,22,2854,2022-11-25 18:45:37
AL,JOAQUIM GOMES,13,6755,2022-11-25 18:45:37
AL,JOAQUIM GOMES,22,2751,2022-11-25 18:45:37
AL,JUNDIÁ,13,1756,2022-11-25 18:45:37
AL,JUNDIÁ,22,1010,2022-11-25 18:45:37
AL,JUNQUEIRO,13,9065,2022-11-25 18:45:37
AL,JUNQUEIRO,22,4665,2022-11-25 18:45:37
AL,LAGOA DA CANOA,13,8000,2022-11-25 18:45:37
AL,LAGOA DA CANOA,22,3278,2022-11-25 18:45:37
AL,LIMOEIRO DE ANADIA,13,10488,2022-11-25 18:45:37
AL,LIMOEIRO DE ANADIA,22,3331,2022-11-25 18:45:37
AL,MACEIÓ,13,204887,2022-11-25 18:45:37
AL,MACEIÓ,22,273549,2022-11-25 18:45:37
AL,MAJOR ISIDORO,13,7106,2022-11-25 18:45:37
AL,MAJOR ISIDORO,22,3361,2022-11-25 18:45:37
AL,MAR VERMELHO,13,1871,2022-11-25 18:45:37
AL,MAR VERMELHO,22,752,2022-11-25 18:45:37
AL,MARAGOGI,13,6924,2022-11-25 18:45:37
AL,MARAGOGI,22,9451,2022-11-25 18:45:37
