sg_uf,nm_municipio,nr_candidato,qt_votos_nominais,dt_carga
AC,JORDÃO,15,157,2022-11-25 18:45:37
AC,JORDÃO,16,1,2022-11-25 18:45:37
AC,JORDÃO,21,2,2022-11-25 18:45:37
AC,JORDÃO,22,1515,2022-11-25 18:45:37
AC,JORDÃO,27,0,2022-11-25 18:45:37
AC,JORDÃO,30,2,2022-11-25 18:45:37
AC,JORDÃO,44,6,2022-11-25 18:45:37
AC,JORDÃO,80,0,2022-11-25 18:45:37
AC,MANOEL URBANO,12,114,2022-11-25 18:45:37
AC,MANOEL URBANO,13,2095,2022-11-25 18:45:37
AC,MANOEL URBANO,14,2,2022-11-25 18:45:37
AC,MANOEL URBANO,15,126,2022-11-25 18:45:37
AC,MANOEL URBANO,16,0,2022-11-25 18:45:37
AC,MANOEL URBANO,21,5,2022-11-25 18:45:37
AC,MANOEL URBANO,22,3141,2022-11-25 18:45:37
AC,MANOEL URBANO,27,1,2022-11-25 18:45:37
AC,MANOEL URBANO,30,3,2022-11-25 18:45:37
AC,MANOEL URBANO,44,47,2022-11-25 18:45:37
AC,MANOEL URBANO,80,0,2022-11-25 18:45:37
AC,MARECHAL THAUMATURGO,12,225,2022-11-25 18:45:37
AC,MARECHAL THAUMATURGO,13,3238,2022-11-25 18:45:37
AC,MARECHAL THAUMATURGO,14,3,2022-11-25 18:45:37
AC,MARECHAL THAUMATURGO,15,433,2022-11-25 18:45:37
AC,MARECHAL THAUMATURGO,16,1,2022-11-25 18:45:37
AC,MARECHAL THAUMATURGO,21,1,2022-11-25 18:45:37
AC,MARECHAL THAUMATURGO,22,4146,2022-11-25 18:45:37
AC,MARECHAL THAUMATURGO,27,0,2022-11-25 18:45:37
AC,MARECHAL THAUMATURGO,30,1,2022-11-25 18:45:37
AC,MARECHAL THAUMATURGO,44,10,2022-11-25 18:45:37
AC,MARECHAL THAUMATURGO,80,1,2022-11-25 18:45:37
AC,MÂNCIO LIMA,12,155,2022-11-25 18:45:37
AC,MÂNCIO LIMA,13,3236,2022-11-25 18:45:37
AC,MÂNCIO LIMA,14,6,2022-11-25 18:45:37
AC,MÂNCIO LIMA,15,331,2022-11-25 18:45:37
AC,MÂNCIO LIMA,16,1,2022-11-25 18:45:37
AC,MÂNCIO LIMA,21,4,2022-11-25 18:45:37
AC,MÂNCIO LIMA,22,6469,2022-11-25 18:45:37
AC,MÂNCIO LIMA,27,1,2022-11-25 18:45:37
AC,MÂNCIO LIMA,30,8,2022-11-25 18:45:37
AC,MÂNCIO LIMA,44,32,2022-11-25 18:45:37
AC,MÂNCIO LIMA,80,1,2022-11-25 18:45:37
AC,PLÁCIDO DE CASTRO,12,189,2022-11-25 18:45:37
AC,PLÁCIDO DE CASTRO,13,2442,2022-11-25 18:45:37
AC,PLÁCIDO DE CASTRO,14,6,2022-11-25 18:45:37
AC,PLÁCIDO DE CASTRO,15,489,2022-11-25 18:45:37
AC,PLÁCIDO DE CASTRO,16,0,2022-11-25 18:45:37
AC,PLÁCIDO DE CASTRO,21,1,2022-11-25 18:45:37
AC,PLÁCIDO DE CASTRO,22,6209,2022-11-25 18:45:37
AC,PLÁCIDO DE CASTRO,27,0,2022-11-25 18:45:37
AC,PLÁCIDO DE CASTRO,30,11,2022-11-25 18:45:37
AC,PLÁCIDO DE CASTRO,44,43,2022-11-25 18:45:37
AC,PLÁCIDO DE CASTRO,80,0,2022-11-25 18:45:37
AC,PORTO ACRE,12,168,2022-11-25 18:45:37
AC,PORTO ACRE,13,2490,2022-11-25 18:45:37
AC,PORTO ACRE,14,6,2022-11-25 18:45:37
AC,PORTO ACRE,15,463,2022-11-25 18:45:37
AC,PORTO ACRE,16,1,2022-11-25 18:45:37
AC,PORTO ACRE,21,3,2022-11-25 18:45:37
AC,PORTO ACRE,22,7062,2022-11-25 18:45:37
