,sg_uf,nm_municipio,nr_candidato,qt_votos_primeiro_turno,qt_votos_segundo_turno
126,AC,MÂNCIO LIMA,21,4,0
127,AC,MÂNCIO LIMA,22,6469,6331
128,AC,MÂNCIO LIMA,27,1,0
129,AC,MÂNCIO LIMA,30,8,0
130,AC,MÂNCIO LIMA,44,32,0
131,AC,MÂNCIO LIMA,80,1,0
132,AC,PLÁCIDO DE CASTRO,12,189,0
133,AC,PLÁCIDO DE CASTRO,13,2442,2306
134,AC,PLÁCIDO DE CASTRO,14,6,0
135,AC,PLÁCIDO DE CASTRO,15,489,0
136,AC,PLÁCIDO DE CASTRO,16,0,0
137,AC,PLÁCIDO DE CASTRO,21,1,0
138,AC,PLÁCIDO DE CASTRO,22,6209,6176
139,AC,PLÁCIDO DE CASTRO,27,0,0
140,AC,PLÁCIDO DE CASTRO,30,11,0
141,AC,PLÁCIDO DE CASTRO,44,43,0
142,AC,PLÁCIDO DE CASTRO,80,0,0
143,AC,PORTO ACRE,12,168,0
144,AC,PORTO ACRE,13,2490,2317
145,AC,PORTO ACRE,14,6,0
146,AC,PORTO ACRE,15,463,0
147,AC,PORTO ACRE,16,1,0
148,AC,PORTO ACRE,21,3,0
149,AC,PORTO ACRE,22,7062,7384
150,AC,PORTO ACRE,27,1,0
151,AC,PORTO ACRE,30,12,0
152,AC,PORTO ACRE,44,53,0
153,AC,PORTO ACRE,80,0,0
154,AC,PORTO WALTER,12,214,0
155,AC,PORTO WALTER,13,2660,2093
156,AC,PORTO WALTER,14,6,0
157,AC,PORTO WALTER,15,451,0
158,AC,PORTO WALTER,16,0,0
159,AC,PORTO WALTER,21,1,0
160,AC,PORTO WALTER,22,2143,1866
161,AC,PORTO WALTER,27,0,0
162,AC,PORTO WALTER,30,1,0
163,AC,PORTO WALTER,44,27,0
164,AC,PORTO WALTER,80,0,0
165,AC,RIO BRANCO,12,6878,0
166,AC,RIO BRANCO,13,53560,53873
167,AC,RIO BRANCO,14,154,0
168,AC,RIO BRANCO,15,10522,0
169,AC,RIO BRANCO,16,45,0
170,AC,RIO BRANCO,21,80,0
171,AC,RIO BRANCO,22,130393,142090
172,AC,RIO BRANCO,27,31,0
173,AC,RIO BRANCO,30,600,0
174,AC,RIO BRANCO,44,1314,0
175,AC,RIO BRANCO,80,52,0
176,AC,RODRIGUES ALVES,12,165,0
177,AC,RODRIGUES ALVES,13,1839,1455
178,AC,RODRIGUES ALVES,14,3,0
179,AC,RODRIGUES ALVES,15,263,0
180,AC,RODRIGUES ALVES,16,0,0
181,AC,RODRIGUES ALVES,21,1,0
182,AC,RODRIGUES ALVES,22,6551,6011
183,AC,RODRIGUES ALVES,27,1,0
184,AC,RODRIGUES ALVES,30,8,0
185,AC,RODRIGUES ALVES,44,35,0
186,AC,RODRIGUES ALVES,80,0,0
187,AC,SANTA ROSA DO PURUS,12,44,0
188,AC,SANTA ROSA DO PURUS,13,1357,1217
189,AC,SANTA ROSA DO PURUS,14,2,0
190,AC,SANTA ROSA DO PURUS,15,58,0
191,AC,SANTA ROSA DO PURUS,16,0,0
192,AC,SANTA ROSA DO PURUS,21,0,0
193,AC,SANTA ROSA DO PURUS,22,1028,1127
194,AC,SANTA ROSA DO PURUS,27,0,0
195,AC,SANTA ROSA DO PURUS,30,3,0
196,AC,SANTA ROSA DO PURUS,44,26,0
197,AC,SANTA ROSA DO PURUS,80,0,0
198,AC,SENA MADUREIRA,12,473,0
199,AC,SENA MADUREIRA,13,5811,4976
200,AC,SENA MADUREIRA,14,19,0
201,AC,SENA MADUREIRA,15,973,0
202,AC,SENA MADUREIRA,16,1,0
203,AC,SENA MADUREIRA,21,3,0
204,AC,SENA MADUREIRA,22,14317,13606
205,AC,SENA MADUREIRA,27,2,0
206,AC,SENA MADUREIRA,30,23,0
207,AC,SENA MADUREIRA,44,163,0
208,AC,SENA MADUREIRA,80,1,0
209,AC,SENADOR GUIOMARD,12,349,0
210,AC,SENADOR GUIOMARD,13,3523,3338
211,AC,SENADOR GUIOMARD,14,3,0
212,AC,SENADOR GUIOMARD,15,654,0
213,AC,SENADOR GUIOMARD,16,0,0
214,AC,SENADOR GUIOMARD,21,2,0
215,AC,SENADOR GUIOMARD,22,9134,9512
216,AC,SENADOR GUIOMARD,27,1,0
217,AC,SENADOR GUIOMARD,30,14,0
218,AC,SENADOR GUIOMARD,44,75,0
219,AC,SENADOR GUIOMARD,80,0,0
220,AC,TARAUACÁ,12,543,0
221,AC,TARAUACÁ,13,8042,6802
222,AC,TARAUACÁ,14,5,0
223,AC,TARAUACÁ,15,671,0
224,AC,TARAUACÁ,16,8,0
225,AC,TARAUACÁ,21,4,0
226,AC,TARAUACÁ,22,9146,9067
227,AC,TARAUACÁ,27,1,0
228,AC,TARAUACÁ,30,10,0
229,AC,TARAUACÁ,44,78,0
230,AC,TARAUACÁ,80,0,0
231,AC,XAPURI,12,168,0
232,AC,XAPURI,13,3774,3634
233,AC,XAPURI,14,2,0
234,AC,XAPURI,15,219,0
235,AC,XAPURI,16,1,0
236,AC,XAPURI,21,3,0
237,AC,XAPURI,22,5142,5217
238,AC,XAPURI,27,0,0
239,AC,XAPURI,30,6,0
240,AC,XAPURI,44,44,0
241,AC,XAPURI,80,1,0
242,AL,ANADIA,12,211,0
