,sg_uf,nm_municipio,nr_candidato,qt_votos_primeiro_turno,qt_votos_segundo_turno
17308,MG,CÔNEGO MARINHO,21,0,0
17309,MG,CÔNEGO MARINHO,22,564,671
17310,MG,CÔNEGO MARINHO,27,1,0
17311,MG,CÔNEGO MARINHO,30,23,0
17312,MG,CÔNEGO MARINHO,44,8,0
17313,MG,CÔNEGO MARINHO,80,0,0
17314,MG,DATAS,12,85,0
17315,MG,DATAS,13,2603,2774
17316,MG,DATAS,14,4,0
17317,MG,DATAS,15,83,0
17318,MG,DATAS,16,0,0
17319,MG,DATAS,21,1,0
17320,MG,DATAS,22,678,834
17321,MG,DATAS,27,0,0
17322,MG,DATAS,30,26,0
17323,MG,DATAS,44,8,0
17324,MG,DATAS,80,1,0
17325,MG,DELFIM MOREIRA,12,109,0
17326,MG,DELFIM MOREIRA,13,2107,2293
17327,MG,DELFIM MOREIRA,14,3,0
17328,MG,DELFIM MOREIRA,15,255,0
17329,MG,DELFIM MOREIRA,16,2,0
17330,MG,DELFIM MOREIRA,21,3,0
17331,MG,DELFIM MOREIRA,22,2483,2923
17332,MG,DELFIM MOREIRA,27,1,0
17333,MG,DELFIM MOREIRA,30,36,0
17334,MG,DELFIM MOREIRA,44,32,0
17335,MG,DELFIM MOREIRA,80,0,0
17336,MG,DELFINÓPOLIS,12,77,0
17337,MG,DELFINÓPOLIS,13,1947,2056
17338,MG,DELFINÓPOLIS,14,1,0
17339,MG,DELFINÓPOLIS,15,158,0
17340,MG,DELFINÓPOLIS,16,1,0
17341,MG,DELFINÓPOLIS,21,0,0
17342,MG,DELFINÓPOLIS,22,2152,2488
17343,MG,DELFINÓPOLIS,27,0,0
17344,MG,DELFINÓPOLIS,30,39,0
17345,MG,DELFINÓPOLIS,44,8,0
17346,MG,DELFINÓPOLIS,80,0,0
17347,MG,DELTA,12,80,0
17348,MG,DELTA,13,3125,3213
17349,MG,DELTA,14,1,0
17350,MG,DELTA,15,117,0
17351,MG,DELTA,16,1,0
17352,MG,DELTA,21,1,0
17353,MG,DELTA,22,1731,1976
17354,MG,DELTA,27,0,0
17355,MG,DELTA,30,24,0
17356,MG,DELTA,44,15,0
17357,MG,DELTA,80,1,0
17358,MG,DESCOBERTO,12,135,0
17359,MG,DESCOBERTO,13,1943,2089
17360,MG,DESCOBERTO,14,5,0
17361,MG,DESCOBERTO,15,125,0
17362,MG,DESCOBERTO,16,0,0
17363,MG,DESCOBERTO,21,1,0
17364,MG,DESCOBERTO,22,1160,1430
17365,MG,DESCOBERTO,27,1,0
17366,MG,DESCOBERTO,30,32,0
17367,MG,DESCOBERTO,44,8,0
17368,MG,DESCOBERTO,80,1,0
17369,MG,DESTERRO DE ENTRE RIOS,12,166,0
17370,MG,DESTERRO DE ENTRE RIOS,13,1718,1948
17371,MG,DESTERRO DE ENTRE RIOS,14,2,0
17372,MG,DESTERRO DE ENTRE RIOS,15,229,0
17373,MG,DESTERRO DE ENTRE RIOS,16,3,0
17374,MG,DESTERRO DE ENTRE RIOS,21,1,0
17375,MG,DESTERRO DE ENTRE RIOS,22,2336,2807
17376,MG,DESTERRO DE ENTRE RIOS,27,0,0
17377,MG,DESTERRO DE ENTRE RIOS,30,46,0
17378,MG,DESTERRO DE ENTRE RIOS,44,21,0
17379,MG,DESTERRO DE ENTRE RIOS,80,0,0
17380,MG,DESTERRO DO MELO,12,102,0
17381,MG,DESTERRO DO MELO,13,1496,1603
17382,MG,DESTERRO DO MELO,14,2,0
17383,MG,DESTERRO DO MELO,15,128,0
17384,MG,DESTERRO DO MELO,16,0,0
17385,MG,DESTERRO DO MELO,21,0,0
17386,MG,DESTERRO DO MELO,22,1066,1295
17387,MG,DESTERRO DO MELO,27,0,0
17388,MG,DESTERRO DO MELO,30,29,0
17389,MG,DESTERRO DO MELO,44,6,0
17390,MG,DESTERRO DO MELO,80,2,0
17391,MG,DIAMANTINA,12,834,0
17392,MG,DIAMANTINA,13,17923,19045
17393,MG,DIAMANTINA,14,10,0
17394,MG,DIAMANTINA,15,898,0
17395,MG,DIAMANTINA,16,7,0
17396,MG,DIAMANTINA,21,20,0
17397,MG,DIAMANTINA,22,7167,8664
17398,MG,DIAMANTINA,27,2,0
17399,MG,DIAMANTINA,30,155,0
17400,MG,DIAMANTINA,44,61,0
17401,MG,DIAMANTINA,80,7,0
17402,MG,DIOGO DE VASCONCELOS,12,71,0
17403,MG,DIOGO DE VASCONCELOS,13,2089,2178
17404,MG,DIOGO DE VASCONCELOS,14,2,0
17405,MG,DIOGO DE VASCONCELOS,15,63,0
17406,MG,DIOGO DE VASCONCELOS,16,2,0
17407,MG,DIOGO DE VASCONCELOS,21,0,0
17408,MG,DIOGO DE VASCONCELOS,22,524,680
17409,MG,DIOGO DE VASCONCELOS,27,0,0
17410,MG,DIOGO DE VASCONCELOS,30,32,0
17411,MG,DIOGO DE VASCONCELOS,44,9,0
17412,MG,DIOGO DE VASCONCELOS,80,1,0
17413,MG,DIONÍSIO,12,80,0
17414,MG,DIONÍSIO,13,2686,2837
17415,MG,DIONÍSIO,14,5,0
17416,MG,DIONÍSIO,15,112,0
17417,MG,DIONÍSIO,16,0,0
17418,MG,DIONÍSIO,21,0,0
17419,MG,DIONÍSIO,22,1701,2000
17420,MG,DIONÍSIO,27,1,0
17421,MG,DIONÍSIO,30,19,0
17422,MG,DIONÍSIO,44,10,0
17423,MG,DIONÍSIO,80,0,0
17424,MG,DIVINO,12,196,0
17425,MG,DIVINO,13,6492,6807
17426,MG,DIVINO,14,10,0
17427,MG,DIVINO,15,213,0
17428,MG,DIVINO,16,1,0
17429,MG,DIVINO,21,1,0
17430,MG,DIVINO,22,4288,5032
17431,MG,DIVINO,27,0,0
17432,MG,DIVINO,30,63,0
17433,MG,DIVINO,44,25,0
17434,MG,DIVINO,80,1,0
17435,MG,DIVINO DAS LARANJEIRAS,12,64,0
17436,MG,DIVINO DAS LARANJEIRAS,13,1475,1552
17437,MG,DIVINO DAS LARANJEIRAS,14,1,0
17438,MG,DIVINO DAS LARANJEIRAS,15,64,0
17439,MG,DIVINO DAS LARANJEIRAS,16,0,0
17440,MG,DIVINO DAS LARANJEIRAS,21,0,0
17441,MG,DIVINO DAS LARANJEIRAS,22,1392,1625
17442,MG,DIVINO DAS LARANJEIRAS,27,1,0
17443,MG,DIVINO DAS LARANJEIRAS,30,27,0
17444,MG,DIVINO DAS LARANJEIRAS,44,8,0
17445,MG,DIVINO DAS LARANJEIRAS,80,2,0
17446,MG,DIVINOLÂNDIA DE MINAS,12,71,0
17447,MG,DIVINOLÂNDIA DE MINAS,13,2310,2480
17448,MG,DIVINOLÂNDIA DE MINAS,14,0,0
17449,MG,DIVINOLÂNDIA DE MINAS,15,103,0
17450,MG,DIVINOLÂNDIA DE MINAS,16,1,0
17451,MG,DIVINOLÂNDIA DE MINAS,21,4,0
17452,MG,DIVINOLÂNDIA DE MINAS,22,1372,1602
17453,MG,DIVINOLÂNDIA DE MINAS,27,0,0
17454,MG,DIVINOLÂNDIA DE MINAS,30,32,0
17455,MG,DIVINOLÂNDIA DE MINAS,44,10,0
17456,MG,DIVINOLÂNDIA DE MINAS,80,0,0
17457,MG,DIVINÉSIA,12,61,0
17458,MG,DIVINÉSIA,13,2381,2444
17459,MG,DIVINÉSIA,14,3,0
17460,MG,DIVINÉSIA,15,101,0
17461,MG,DIVINÉSIA,16,0,0
17462,MG,DIVINÉSIA,21,1,0
17463,MG,DIVINÉSIA,22,939,1141
17464,MG,DIVINÉSIA,27,0,0
17465,MG,DIVINÉSIA,30,21,0
17466,MG,DIVINÉSIA,44,19,0
17467,MG,DIVINÉSIA,80,0,0
17468,MG,DIVINÓPOLIS,12,3735,0
17469,MG,DIVINÓPOLIS,13,56562,60868
17470,MG,DIVINÓPOLIS,14,101,0
17471,MG,DIVINÓPOLIS,15,5935,0
17472,MG,DIVINÓPOLIS,16,22,0
17473,MG,DIVINÓPOLIS,21,45,0
17474,MG,DIVINÓPOLIS,22,65668,76341
17475,MG,DIVINÓPOLIS,27,14,0
17476,MG,DIVINÓPOLIS,30,1077,0
17477,MG,DIVINÓPOLIS,44,466,0
17478,MG,DIVINÓPOLIS,80,53,0
17479,MG,DIVISA ALEGRE,12,98,0
17480,MG,DIVISA ALEGRE,13,2248,2401
17481,MG,DIVISA ALEGRE,14,1,0
17482,MG,DIVISA ALEGRE,15,107,0
17483,MG,DIVISA ALEGRE,16,1,0
17484,MG,DIVISA ALEGRE,21,0,0
17485,MG,DIVISA ALEGRE,22,1141,1335
17486,MG,DIVISA ALEGRE,27,0,0
17487,MG,DIVISA ALEGRE,30,22,0
17488,MG,DIVISA ALEGRE,44,6,0
17489,MG,DIVISA ALEGRE,80,1,0
17490,MG,DIVISA NOVA,12,71,0
17491,MG,DIVISA NOVA,13,1901,1966
17492,MG,DIVISA NOVA,14,3,0
17493,MG,DIVISA NOVA,15,133,0
17494,MG,DIVISA NOVA,16,0,0
17495,MG,DIVISA NOVA,21,0,0
17496,MG,DIVISA NOVA,22,1596,1811
17497,MG,DIVISA NOVA,27,1,0
17498,MG,DIVISA NOVA,30,24,0
17499,MG,DIVISA NOVA,44,10,0
17500,MG,DIVISA NOVA,80,1,0
17501,MG,DIVISÓPOLIS,12,105,0
17502,MG,DIVISÓPOLIS,13,3141,3405
17503,MG,DIVISÓPOLIS,14,1,0
17504,MG,DIVISÓPOLIS,15,67,0
17505,MG,DIVISÓPOLIS,16,0,0
17506,MG,DIVISÓPOLIS,21,1,0
17507,MG,DIVISÓPOLIS,22,1387,1619
17508,MG,DIVISÓPOLIS,27,0,0
17509,MG,DIVISÓPOLIS,30,57,0
17510,MG,DIVISÓPOLIS,44,11,0
17511,MG,DIVISÓPOLIS,80,3,0
17512,MG,DOM BOSCO,12,32,0
17513,MG,DOM BOSCO,13,1219,1251
17514,MG,DOM BOSCO,14,3,0
17515,MG,DOM BOSCO,15,59,0
17516,MG,DOM BOSCO,16,0,0
17517,MG,DOM BOSCO,21,0,0
17518,MG,DOM BOSCO,22,1307,1430
17519,MG,DOM BOSCO,27,0,0
17520,MG,DOM BOSCO,30,17,0
17521,MG,DOM BOSCO,44,5,0
17522,MG,DOM BOSCO,80,0,0
17523,MG,DOM CAVATI,12,59,0
17524,MG,DOM CAVATI,13,1473,1524
17525,MG,DOM CAVATI,14,2,0
17526,MG,DOM CAVATI,15,60,0
17527,MG,DOM CAVATI,16,0,0
17528,MG,DOM CAVATI,21,1,0
17529,MG,DOM CAVATI,22,1555,1754
17530,MG,DOM CAVATI,27,0,0
17531,MG,DOM CAVATI,30,20,0
17532,MG,DOM CAVATI,44,2,0
17533,MG,DOM CAVATI,80,0,0
17534,MG,DOM JOAQUIM,12,62,0
17535,MG,DOM JOAQUIM,13,1807,1903
17536,MG,DOM JOAQUIM,14,3,0
17537,MG,DOM JOAQUIM,15,82,0
17538,MG,DOM JOAQUIM,16,1,0
17539,MG,DOM JOAQUIM,21,3,0
17540,MG,DOM JOAQUIM,22,843,1023
17541,MG,DOM JOAQUIM,27,0,0
17542,MG,DOM JOAQUIM,30,15,0
17543,MG,DOM JOAQUIM,44,5,0
17544,MG,DOM JOAQUIM,80,1,0
17545,MG,DOM SILVÉRIO,12,66,0
17546,MG,DOM SILVÉRIO,13,2124,2311
17547,MG,DOM SILVÉRIO,14,2,0
17548,MG,DOM SILVÉRIO,15,135,0
17549,MG,DOM SILVÉRIO,16,1,0
17550,MG,DOM SILVÉRIO,21,8,0
17551,MG,DOM SILVÉRIO,22,872,1088
17552,MG,DOM SILVÉRIO,27,0,0
17553,MG,DOM SILVÉRIO,30,44,0
17554,MG,DOM SILVÉRIO,44,11,0
17555,MG,DOM SILVÉRIO,80,1,0
17556,MG,DOM VIÇOSO,12,52,0
17557,MG,DOM VIÇOSO,13,1039,1111
17558,MG,DOM VIÇOSO,14,1,0
17559,MG,DOM VIÇOSO,15,94,0
17560,MG,DOM VIÇOSO,16,0,0
17561,MG,DOM VIÇOSO,21,1,0
17562,MG,DOM VIÇOSO,22,1099,1224
17563,MG,DOM VIÇOSO,27,0,0
17564,MG,DOM VIÇOSO,30,32,0
17565,MG,DOM VIÇOSO,44,7,0
17566,MG,DOM VIÇOSO,80,0,0
17567,MG,DONA EUSÉBIA,12,78,0
17568,MG,DONA EUSÉBIA,13,2457,2583
17569,MG,DONA EUSÉBIA,14,0,0
17570,MG,DONA EUSÉBIA,15,99,0
17571,MG,DONA EUSÉBIA,16,0,0
17572,MG,DONA EUSÉBIA,21,0,0
17573,MG,DONA EUSÉBIA,22,1848,2029
17574,MG,DONA EUSÉBIA,27,0,0
17575,MG,DONA EUSÉBIA,30,27,0
17576,MG,DONA EUSÉBIA,44,9,0
17577,MG,DONA EUSÉBIA,80,2,0
17578,MG,DORES DE CAMPOS,12,152,0
17579,MG,DORES DE CAMPOS,13,2952,3240
17580,MG,DORES DE CAMPOS,14,6,0
17581,MG,DORES DE CAMPOS,15,362,0
17582,MG,DORES DE CAMPOS,16,2,0
17583,MG,DORES DE CAMPOS,21,4,0
17584,MG,DORES DE CAMPOS,22,2695,3229
17585,MG,DORES DE CAMPOS,27,4,0
17586,MG,DORES DE CAMPOS,30,48,0
17587,MG,DORES DE CAMPOS,44,19,0
17588,MG,DORES DE CAMPOS,80,3,0
17589,MG,DORES DE GUANHÃES,12,52,0
17590,MG,DORES DE GUANHÃES,13,2174,2292
17591,MG,DORES DE GUANHÃES,14,2,0
17592,MG,DORES DE GUANHÃES,15,83,0
17593,MG,DORES DE GUANHÃES,16,0,0
17594,MG,DORES DE GUANHÃES,21,1,0
17595,MG,DORES DE GUANHÃES,22,1103,1310
17596,MG,DORES DE GUANHÃES,27,0,0
17597,MG,DORES DE GUANHÃES,30,28,0
17598,MG,DORES DE GUANHÃES,44,10,0
17599,MG,DORES DE GUANHÃES,80,0,0
17600,MG,DORES DO INDAIÁ,12,146,0
17601,MG,DORES DO INDAIÁ,13,3035,3290
17602,MG,DORES DO INDAIÁ,14,3,0
17603,MG,DORES DO INDAIÁ,15,324,0
17604,MG,DORES DO INDAIÁ,16,0,0
17605,MG,DORES DO INDAIÁ,21,8,0
17606,MG,DORES DO INDAIÁ,22,4145,4783
17607,MG,DORES DO INDAIÁ,27,1,0
17608,MG,DORES DO INDAIÁ,30,57,0
17609,MG,DORES DO INDAIÁ,44,18,0
17610,MG,DORES DO INDAIÁ,80,2,0
17611,MG,DORES DO TURVO,12,94,0
17612,MG,DORES DO TURVO,13,2333,2509
17613,MG,DORES DO TURVO,14,0,0
17614,MG,DORES DO TURVO,15,112,0
17615,MG,DORES DO TURVO,16,0,0
17616,MG,DORES DO TURVO,21,1,0
17617,MG,DORES DO TURVO,22,1206,1392
17618,MG,DORES DO TURVO,27,0,0
17619,MG,DORES DO TURVO,30,37,0
17620,MG,DORES DO TURVO,44,10,0
17621,MG,DORES DO TURVO,80,0,0
17622,MG,DORESÓPOLIS,12,34,0
17623,MG,DORESÓPOLIS,13,681,733
17624,MG,DORESÓPOLIS,14,1,0
17625,MG,DORESÓPOLIS,15,44,0
17626,MG,DORESÓPOLIS,16,1,0
17627,MG,DORESÓPOLIS,21,0,0
17628,MG,DORESÓPOLIS,22,726,808
17629,MG,DORESÓPOLIS,27,0,0
17630,MG,DORESÓPOLIS,30,8,0
17631,MG,DORESÓPOLIS,44,1,0
17632,MG,DORESÓPOLIS,80,0,0
17633,MG,DOURADOQUARA,12,37,0
17634,MG,DOURADOQUARA,13,885,928
17635,MG,DOURADOQUARA,14,1,0
17636,MG,DOURADOQUARA,15,82,0
17637,MG,DOURADOQUARA,16,0,0
17638,MG,DOURADOQUARA,21,0,0
17639,MG,DOURADOQUARA,22,567,653
17640,MG,DOURADOQUARA,27,0,0
17641,MG,DOURADOQUARA,30,13,0
17642,MG,DOURADOQUARA,44,3,0
17643,MG,DOURADOQUARA,80,0,0
17644,MG,DURANDÉ,12,58,0
17645,MG,DURANDÉ,13,2740,2849
17646,MG,DURANDÉ,14,3,0
17647,MG,DURANDÉ,15,135,0
17648,MG,DURANDÉ,16,0,0
17649,MG,DURANDÉ,21,0,0
17650,MG,DURANDÉ,22,1825,2118
17651,MG,DURANDÉ,27,3,0
17652,MG,DURANDÉ,30,28,0
17653,MG,DURANDÉ,44,18,0
17654,MG,DURANDÉ,80,0,0
17655,MG,ELÓI MENDES,12,304,0
17656,MG,ELÓI MENDES,13,5835,6153
17657,MG,ELÓI MENDES,14,10,0
17658,MG,ELÓI MENDES,15,644,0
17659,MG,ELÓI MENDES,16,1,0
17660,MG,ELÓI MENDES,21,6,0
17661,MG,ELÓI MENDES,22,8197,9402
17662,MG,ELÓI MENDES,27,3,0
17663,MG,ELÓI MENDES,30,175,0
17664,MG,ELÓI MENDES,44,64,0
17665,MG,ELÓI MENDES,80,6,0
17666,MG,ENGENHEIRO CALDAS,12,68,0
17667,MG,ENGENHEIRO CALDAS,13,2664,2728
17668,MG,ENGENHEIRO CALDAS,14,3,0
17669,MG,ENGENHEIRO CALDAS,15,124,0
17670,MG,ENGENHEIRO CALDAS,16,1,0
17671,MG,ENGENHEIRO CALDAS,21,2,0
17672,MG,ENGENHEIRO CALDAS,22,2241,2570
17673,MG,ENGENHEIRO CALDAS,27,4,0
17674,MG,ENGENHEIRO CALDAS,30,33,0
17675,MG,ENGENHEIRO CALDAS,44,8,0
17676,MG,ENGENHEIRO CALDAS,80,1,0
17677,MG,ENGENHEIRO NAVARRO,12,86,0
17678,MG,ENGENHEIRO NAVARRO,13,3105,3222
17679,MG,ENGENHEIRO NAVARRO,14,2,0
17680,MG,ENGENHEIRO NAVARRO,15,96,0
17681,MG,ENGENHEIRO NAVARRO,16,1,0
17682,MG,ENGENHEIRO NAVARRO,21,2,0
17683,MG,ENGENHEIRO NAVARRO,22,1006,1200
17684,MG,ENGENHEIRO NAVARRO,27,1,0
17685,MG,ENGENHEIRO NAVARRO,30,23,0
17686,MG,ENGENHEIRO NAVARRO,44,1,0
17687,MG,ENGENHEIRO NAVARRO,80,0,0
17688,MG,ENTRE FOLHAS,12,57,0
17689,MG,ENTRE FOLHAS,13,2181,2278
17690,MG,ENTRE FOLHAS,14,2,0
17691,MG,ENTRE FOLHAS,15,80,0
17692,MG,ENTRE FOLHAS,16,1,0
17693,MG,ENTRE FOLHAS,21,2,0
17694,MG,ENTRE FOLHAS,22,1870,2180
17695,MG,ENTRE FOLHAS,27,0,0
17696,MG,ENTRE FOLHAS,30,27,0
17697,MG,ENTRE FOLHAS,44,7,0
17698,MG,ENTRE FOLHAS,80,0,0
17699,MG,ENTRE RIOS DE MINAS,12,327,0
17700,MG,ENTRE RIOS DE MINAS,13,5116,5451
17701,MG,ENTRE RIOS DE MINAS,14,4,0
17702,MG,ENTRE RIOS DE MINAS,15,522,0
17703,MG,ENTRE RIOS DE MINAS,16,1,0
17704,MG,ENTRE RIOS DE MINAS,21,6,0
17705,MG,ENTRE RIOS DE MINAS,22,3389,4203
17706,MG,ENTRE RIOS DE MINAS,27,0,0
17707,MG,ENTRE RIOS DE MINAS,30,76,0
17708,MG,ENTRE RIOS DE MINAS,44,34,0
17709,MG,ENTRE RIOS DE MINAS,80,2,0
17710,MG,ERVÁLIA,12,304,0
17711,MG,ERVÁLIA,13,7731,8390
17712,MG,ERVÁLIA,14,13,0
17713,MG,ERVÁLIA,15,310,0
17714,MG,ERVÁLIA,16,0,0
17715,MG,ERVÁLIA,21,7,0
17716,MG,ERVÁLIA,22,3251,4114
17717,MG,ERVÁLIA,27,0,0
17718,MG,ERVÁLIA,30,105,0
17719,MG,ERVÁLIA,44,54,0
17720,MG,ERVÁLIA,80,3,0
17721,MG,ESMERALDAS,12,948,0
17722,MG,ESMERALDAS,13,20127,21117
17723,MG,ESMERALDAS,14,20,0
17724,MG,ESMERALDAS,15,1673,0
17725,MG,ESMERALDAS,16,9,0
17726,MG,ESMERALDAS,21,12,0
17727,MG,ESMERALDAS,22,15575,18715
17728,MG,ESMERALDAS,27,2,0
17729,MG,ESMERALDAS,30,222,0
17730,MG,ESMERALDAS,44,214,0
17731,MG,ESMERALDAS,80,23,0
17732,MG,ESPERA FELIZ,12,270,0
17733,MG,ESPERA FELIZ,13,6857,7256
17734,MG,ESPERA FELIZ,14,5,0
17735,MG,ESPERA FELIZ,15,290,0
17736,MG,ESPERA FELIZ,16,2,0
17737,MG,ESPERA FELIZ,21,3,0
17738,MG,ESPERA FELIZ,22,5661,6663
17739,MG,ESPERA FELIZ,27,1,0
17740,MG,ESPERA FELIZ,30,83,0
17741,MG,ESPERA FELIZ,44,25,0
17742,MG,ESPERA FELIZ,80,1,0
17743,MG,ESPINOSA,12,307,0
17744,MG,ESPINOSA,13,11336,11844
17745,MG,ESPINOSA,14,6,0
17746,MG,ESPINOSA,15,415,0
17747,MG,ESPINOSA,16,3,0
17748,MG,ESPINOSA,21,4,0
17749,MG,ESPINOSA,22,5243,5914
17750,MG,ESPINOSA,27,2,0
17751,MG,ESPINOSA,30,80,0
17752,MG,ESPINOSA,44,24,0
17753,MG,ESPINOSA,80,5,0
17754,MG,ESPÍRITO SANTO DO DOURADO,12,63,0
17755,MG,ESPÍRITO SANTO DO DOURADO,13,1908,2034
17756,MG,ESPÍRITO SANTO DO DOURADO,14,2,0
17757,MG,ESPÍRITO SANTO DO DOURADO,15,164,0
17758,MG,ESPÍRITO SANTO DO DOURADO,16,1,0
17759,MG,ESPÍRITO SANTO DO DOURADO,21,0,0
17760,MG,ESPÍRITO SANTO DO DOURADO,22,1718,1989
17761,MG,ESPÍRITO SANTO DO DOURADO,27,0,0
17762,MG,ESPÍRITO SANTO DO DOURADO,30,45,0
17763,MG,ESPÍRITO SANTO DO DOURADO,44,21,0
17764,MG,ESPÍRITO SANTO DO DOURADO,80,2,0
17765,MG,ESTIVA,12,198,0
17766,MG,ESTIVA,13,3016,3267
17767,MG,ESTIVA,14,4,0
17768,MG,ESTIVA,15,374,0
17769,MG,ESTIVA,16,4,0
17770,MG,ESTIVA,21,5,0
17771,MG,ESTIVA,22,3541,4150
17772,MG,ESTIVA,27,1,0
17773,MG,ESTIVA,30,73,0
17774,MG,ESTIVA,44,39,0
17775,MG,ESTIVA,80,3,0
17776,MG,ESTRELA DALVA,12,21,0
17777,MG,ESTRELA DALVA,13,1275,1248
17778,MG,ESTRELA DALVA,14,0,0
17779,MG,ESTRELA DALVA,15,66,0
17780,MG,ESTRELA DALVA,16,0,0
17781,MG,ESTRELA DALVA,21,3,0
17782,MG,ESTRELA DALVA,22,678,716
17783,MG,ESTRELA DALVA,27,1,0
17784,MG,ESTRELA DALVA,30,23,0
17785,MG,ESTRELA DALVA,44,7,0
17786,MG,ESTRELA DALVA,80,0,0
17787,MG,ESTRELA DO INDAIÁ,12,48,0
17788,MG,ESTRELA DO INDAIÁ,13,988,1031
17789,MG,ESTRELA DO INDAIÁ,14,2,0
17790,MG,ESTRELA DO INDAIÁ,15,76,0
17791,MG,ESTRELA DO INDAIÁ,16,0,0
17792,MG,ESTRELA DO INDAIÁ,21,2,0
17793,MG,ESTRELA DO INDAIÁ,22,929,1045
17794,MG,ESTRELA DO INDAIÁ,27,0,0
17795,MG,ESTRELA DO INDAIÁ,30,17,0
17796,MG,ESTRELA DO INDAIÁ,44,4,0
17797,MG,ESTRELA DO INDAIÁ,80,0,0
17798,MG,ESTRELA DO SUL,12,74,0
17799,MG,ESTRELA DO SUL,13,2497,2532
17800,MG,ESTRELA DO SUL,14,3,0
17801,MG,ESTRELA DO SUL,15,105,0
17802,MG,ESTRELA DO SUL,16,1,0
17803,MG,ESTRELA DO SUL,21,1,0
17804,MG,ESTRELA DO SUL,22,1545,1845
17805,MG,ESTRELA DO SUL,27,0,0
17806,MG,ESTRELA DO SUL,30,24,0
17807,MG,ESTRELA DO SUL,44,9,0
17808,MG,ESTRELA DO SUL,80,0,0
17809,MG,EUGENÓPOLIS,12,116,0
17810,MG,EUGENÓPOLIS,13,3482,3635
17811,MG,EUGENÓPOLIS,14,5,0
17812,MG,EUGENÓPOLIS,15,155,0
17813,MG,EUGENÓPOLIS,16,0,0
17814,MG,EUGENÓPOLIS,21,4,0
17815,MG,EUGENÓPOLIS,22,3120,3447
17816,MG,EUGENÓPOLIS,27,2,0
17817,MG,EUGENÓPOLIS,30,46,0
17818,MG,EUGENÓPOLIS,44,24,0
17819,MG,EUGENÓPOLIS,80,3,0
17820,MG,EWBANK DA CÂMARA,12,44,0
17821,MG,EWBANK DA CÂMARA,13,2228,2286
17822,MG,EWBANK DA CÂMARA,14,1,0
17823,MG,EWBANK DA CÂMARA,15,78,0
17824,MG,EWBANK DA CÂMARA,16,1,0
17825,MG,EWBANK DA CÂMARA,21,0,0
17826,MG,EWBANK DA CÂMARA,22,953,1110
17827,MG,EWBANK DA CÂMARA,27,0,0
17828,MG,EWBANK DA CÂMARA,30,15,0
17829,MG,EWBANK DA CÂMARA,44,4,0
17830,MG,EWBANK DA CÂMARA,80,0,0
17831,MG,EXTREMA,12,692,0
17832,MG,EXTREMA,13,11200,12071
17833,MG,EXTREMA,14,17,0
17834,MG,EXTREMA,15,1210,0
17835,MG,EXTREMA,16,4,0
17836,MG,EXTREMA,21,8,0
17837,MG,EXTREMA,22,13154,15399
17838,MG,EXTREMA,27,8,0
17839,MG,EXTREMA,30,310,0
17840,MG,EXTREMA,44,131,0
17841,MG,EXTREMA,80,19,0
17842,MG,FAMA,12,28,0
17843,MG,FAMA,13,1082,1087
17844,MG,FAMA,14,3,0
17845,MG,FAMA,15,61,0
17846,MG,FAMA,16,0,0
17847,MG,FAMA,21,0,0
17848,MG,FAMA,22,1090,1272
17849,MG,FAMA,27,0,0
17850,MG,FAMA,30,11,0
17851,MG,FAMA,44,13,0
17852,MG,FAMA,80,1,0
17853,MG,FARIA LEMOS,12,46,0
17854,MG,FARIA LEMOS,13,1494,1502
17855,MG,FARIA LEMOS,14,6,0
17856,MG,FARIA LEMOS,15,64,0
17857,MG,FARIA LEMOS,16,0,0
17858,MG,FARIA LEMOS,21,1,0
17859,MG,FARIA LEMOS,22,819,902
17860,MG,FARIA LEMOS,27,0,0
17861,MG,FARIA LEMOS,30,15,0
17862,MG,FARIA LEMOS,44,6,0
17863,MG,FARIA LEMOS,80,0,0
17864,MG,FELISBURGO,12,105,0
17865,MG,FELISBURGO,13,2498,2701
17866,MG,FELISBURGO,14,1,0
17867,MG,FELISBURGO,15,85,0
17868,MG,FELISBURGO,16,1,0
17869,MG,FELISBURGO,21,1,0
17870,MG,FELISBURGO,22,825,1026
17871,MG,FELISBURGO,27,2,0
17872,MG,FELISBURGO,30,22,0
17873,MG,FELISBURGO,44,12,0
17874,MG,FELISBURGO,80,0,0
17875,MG,FELIXLÂNDIA,12,170,0
17876,MG,FELIXLÂNDIA,13,4686,5015
17877,MG,FELIXLÂNDIA,14,5,0
17878,MG,FELIXLÂNDIA,15,440,0
17879,MG,FELIXLÂNDIA,16,4,0
17880,MG,FELIXLÂNDIA,21,2,0
17881,MG,FELIXLÂNDIA,22,2890,3556
17882,MG,FELIXLÂNDIA,27,0,0
17883,MG,FELIXLÂNDIA,30,63,0
17884,MG,FELIXLÂNDIA,44,29,0
17885,MG,FELIXLÂNDIA,80,0,0
17886,MG,FELÍCIO DOS SANTOS,12,73,0
17887,MG,FELÍCIO DOS SANTOS,13,1898,2087
17888,MG,FELÍCIO DOS SANTOS,14,3,0
17889,MG,FELÍCIO DOS SANTOS,15,198,0
17890,MG,FELÍCIO DOS SANTOS,16,1,0
17891,MG,FELÍCIO DOS SANTOS,21,1,0
17892,MG,FELÍCIO DOS SANTOS,22,908,1093
17893,MG,FELÍCIO DOS SANTOS,27,2,0
17894,MG,FELÍCIO DOS SANTOS,30,38,0
17895,MG,FELÍCIO DOS SANTOS,44,10,0
